2025-09-13 (00:00:29) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-13 (00:00:30) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-13 (00:01:01) -->  PaksDatabase Db Connected
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-09-13 (00:01:01) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:01) -->  PaksDatabase Db Connected
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '2' and status = 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:01) -->  PaksDatabase Db Connected
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '3' and status = 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:01) -->  PaksDatabase Db Connected
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '5' and status = 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:01) -->  PaksDatabase Db Connected
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 20 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:01) -->  PaksDatabase Db Connected
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 24 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:01) -->  PaksDatabase Db Connection Closed..
